Genus,Size,Bleached,Dead,Site,Transect,Count,TransectLength
Pocillopora,22,0,100,LTER_Exp,2,1,15
Pocillopora,22,0,10,LTER_Exp,2,1,15
Pocillopora,22,0,0,LTER_Exp,2,1,15
Pocillopora,22,0,10,LTER_Exp,2,1,15
Pocillopora,22,0,100,LTER_Exp,2,2,15
Pocillopora,22,0,100,LTER_Exp,2,1,15
Pocillopora,22,0,10,LTER_Exp,2,1,15
Pocillopora,21,0,100,LTER_Exp,2,1,15
Pocillopora,21,0,10,LTER_Exp,2,1,15
Pocillopora,21,0,0,LTER_Exp,2,1,15
Pocillopora,21,0,0,LTER_Exp,2,1,15
Pocillopora,21,0,0,LTER_Exp,2,1,15
Pocillopora,20,0,0,LTER_Exp,2,1,15
Pocillopora,20,0,0,LTER_Exp,2,1,15
Pocillopora,20,0,0,LTER_Exp,2,1,15
Pocillopora,20,0,0,LTER_Exp,2,1,15
Pocillopora,20,0,5,LTER_Exp,2,1,15
Pocillopora,20,0,10,LTER_Exp,2,1,15
Pocillopora,20,0,100,LTER_Exp,2,1,15
Pocillopora,20,0,0,LTER_Exp,2,1,15
Pocillopora,20,0,0,LTER_Exp,2,1,15
Pocillopora,20,0,0,LTER_Exp,2,1,15
Pocillopora,20,0,0,LTER_Exp,2,2,15
Pocillopora,20,0,0,LTER_Exp,2,1,15
Pocillopora,19,0,0,LTER_Exp,2,1,15
Pocillopora,19,0,0,LTER_Exp,2,1,15
Pocillopora,19,0,0,LTER_Exp,2,1,15
Pocillopora,19,0,0,LTER_Exp,2,2,15
Pocillopora,18,0,0,LTER_Exp,2,1,15
Pocillopora,18,0,0,LTER_Exp,2,1,15
Pocillopora,18,0,0,LTER_Exp,2,1,15
Pocillopora,18,0,0,LTER_Exp,2,1,15
Pocillopora,18,0,25,LTER_Exp,2,1,15
Pocillopora,18,0,0,LTER_Exp,2,1,15
Pocillopora,17,0,0,LTER_Exp,2,1,15
Pocillopora,17,0,0,LTER_Exp,2,1,15
Pocillopora,17,0,40,LTER_Exp,2,1,15
Pocillopora,17,0,0,LTER_Exp,2,2,15
Pocillopora,17,0,0,LTER_Exp,2,1,15
Pocillopora,17,0,10,LTER_Exp,2,1,15
Pocillopora,17,0,0,LTER_Exp,2,1,15
Pocillopora,17,0,90,LTER_Exp,2,1,15
Pocillopora,17,0,10,LTER_Exp,2,1,15
Pocillopora,17,0,0,LTER_Exp,2,1,15
Pocillopora,17,0,100,LTER_Exp,2,1,15
Pocillopora,17,0,0,LTER_Exp,2,1,15
Pocillopora,16,0,0,LTER_Exp,2,1,15
Pocillopora,16,0,0,LTER_Exp,2,1,15
Pocillopora,16,0,0,LTER_Exp,2,1,15
Pocillopora,16,0,0,LTER_Exp,2,1,15
Pocillopora,16,0,0,LTER_Exp,2,1,15
Pocillopora,16,0,0,LTER_Exp,2,1,15
Pocillopora,16,0,0,LTER_Exp,2,1,15
Pocillopora,16,0,0,LTER_Exp,2,2,15
Pocillopora,16,0,0,LTER_Exp,2,1,15
Pocillopora,16,0,0,LTER_Exp,2,2,15
Pocillopora,16,0,0,LTER_Exp,2,1,15
Pocillopora,16,0,0,LTER_Exp,2,1,15
Pocillopora,16,0,10,LTER_Exp,2,1,15
Pocillopora,16,0,0,LTER_Exp,2,1,15
Pocillopora,16,0,0,LTER_Exp,2,1,15
Pocillopora,15,0,0,LTER_Exp,2,1,15
Pocillopora,15,0,0,LTER_Exp,2,1,15
Pocillopora,15,0,0,LTER_Exp,2,1,15
Pocillopora,15,0,50,LTER_Exp,2,1,15
Pocillopora,15,0,100,LTER_Exp,2,1,15
Pocillopora,15,0,0,LTER_Exp,2,1,15
Pocillopora,15,0,0,LTER_Exp,2,1,15
Pocillopora,15,0,0,LTER_Exp,2,1,15
Pocillopora,15,0,0,LTER_Exp,2,1,15
Pocillopora,15,0,0,LTER_Exp,2,2,15
Pocillopora,15,0,0,LTER_Exp,2,1,15
Pocillopora,15,0,0,LTER_Exp,2,1,15
Pocillopora,15,0,0,LTER_Exp,2,1,15
Pocillopora,15,0,0,LTER_Exp,2,1,15
Pocillopora,14,0,0,LTER_Exp,2,1,15
Pocillopora,14,0,0,LTER_Exp,2,1,15
Pocillopora,14,0,0,LTER_Exp,2,1,15
Pocillopora,14,0,10,LTER_Exp,2,1,15
Pocillopora,14,0,0,LTER_Exp,2,1,15
Pocillopora,14,0,50,LTER_Exp,2,1,15
Pocillopora,14,0,0,LTER_Exp,2,1,15
Pocillopora,14,0,0,LTER_Exp,2,1,15
Pocillopora,14,0,100,LTER_Exp,2,1,15
Pocillopora,13,0,0,LTER_Exp,2,1,15
Pocillopora,13,0,0,LTER_Exp,2,1,15
Pocillopora,13,0,0,LTER_Exp,2,1,15
Pocillopora,13,0,0,LTER_Exp,2,2,15
Pocillopora,13,0,0,LTER_Exp,2,1,15
Pocillopora,13,0,0,LTER_Exp,2,1,15
Pocillopora,12,0,90,LTER_Exp,2,1,15
Pocillopora,12,0,20,LTER_Exp,2,1,15
Pocillopora,12,0,0,LTER_Exp,2,1,15
Pocillopora,12,0,0,LTER_Exp,2,2,15
Pocillopora,12,0,0,LTER_Exp,2,1,15
Pocillopora,12,0,50,LTER_Exp,2,1,15
Pocillopora,12,0,5,LTER_Exp,2,1,15
Pocillopora,12,0,0,LTER_Exp,2,1,15
Pocillopora,11,0,0,LTER_Exp,2,1,15
Pocillopora,11,0,70,LTER_Exp,2,1,15
Pocillopora,11,0,0,LTER_Exp,2,1,15
Pocillopora,10,0,0,LTER_Exp,2,1,15
Pocillopora,10,0,0,LTER_Exp,2,1,15
Pocillopora,10,0,40,LTER_Exp,2,1,15
Pocillopora,10,0,0,LTER_Exp,2,1,15
Pocillopora,10,0,0,LTER_Exp,2,1,15
Pocillopora,10,0,0,LTER_Exp,2,1,15
Pocillopora,9,0,0,LTER_Exp,2,2,15
Pocillopora,6,0,0,LTER_Exp,2,1,15
Pocillopora,6,0,0,LTER_Exp,2,1,15
Pocillopora,6,0,0,LTER_Exp,2,1,15
Acropora,7,0,0,LTER_Exp,1,1,15
Acropora,23,0,100,LTER_Exp,1,1,15
Acropora,15,0,0,LTER_Exp,1,1,15
Acropora,13,0,100,LTER_Exp,1,1,15
Acropora,34,0,100,LTER_Exp,1,1,15
