Observer,Site,Genus,Size,Bleached,Dead,Transect,TransectLength
KS,LTER_Exp,Pocillopora,37,0,100,1,20
KS,LTER_Exp,Pocillopora,18,0,0,1,20
KS,LTER_Exp,Pocillopora,14,0,0,1,20
KS,LTER_Exp,Acropora,25,0,0,1,20
KS,LTER_Exp,Pocillopora,15,0,0,1,20
KS,LTER_Exp,Pocillopora,39,0,100,1,20
KS,LTER_Exp,Acropora,25,0,0,1,20
KS,LTER_Exp,Pocillopora,39,0,30,1,20
KS,LTER_Exp,Pocillopora,23,0,0,1,20
KS,LTER_Exp,Pocillopora,22,0,100,1,20
KS,LTER_Exp,Pocillopora,18,0,100,1,20
KS,LTER_Exp,Acropora,27,0,0,1,20
KS,LTER_Exp,Pocillopora,37,0,100,1,20
KS,LTER_Exp,Pocillopora,37,0,100,1,20
KS,LTER_Exp,Pocillopora,42,0,100,1,20
KS,LTER_Exp,Pocillopora,19,0,20,1,20
KS,LTER_Exp,Pocillopora,20,0,0,1,20
KS,LTER_Exp,Pocillopora,20,0,100,1,20
KS,LTER_Exp,Acropora,14,30,50,1,20
KS,LTER_Exp,Pocillopora,32,0,0,1,20
KS,LTER_Exp,Pocillopora,37,0,100,1,20
KS,LTER_Exp,Pocillopora,15,0,0,1,20
KS,LTER_Exp,Acropora,37,20,70,1,20
KS,LTER_Exp,Pocillopora,53,0,95,1,20
KS,LTER_Exp,Pocillopora,50,0,100,1,20
KS,LTER_Exp,Pocillopora,16,0,0,1,20
KS,LTER_Exp,Pocillopora,17,0,0,1,20
KS,LTER_Exp,Acropora,18,70,0,1,20
KS,LTER_Exp,Pocillopora,42,0,100,1,20
KS,LTER_Exp,Pocillopora,20,0,0,1,20
KS,LTER_Exp,Pocillopora,20,0,0,1,20
KS,LTER_Exp,Pocillopora,16,0,30,1,20
KS,LTER_Exp,Pocillopora,17,0,20,1,20
KS,LTER_Exp,Pocillopora,18,0,0,1,20
KS,LTER_Exp,Pocillopora,54,0,100,1,20
KS,LTER_Exp,Pocillopora,15,0,0,1,20
KS,LTER_Exp,Pocillopora,39,0,100,1,20
KS,LTER_Exp,Pocillopora,19,0,0,1,20
KS,LTER_Exp,Pocillopora,23,0,0,1,20
KS,LTER_Exp,Pocillopora,11,0,0,1,20
KS,LTER_Exp,Pocillopora,29,0,0,1,20
KS,LTER_Exp,Pocillopora,13,0,0,1,20
KS,LTER_Exp,Pocillopora,16,0,0,1,20
KS,LTER_Exp,Pocillopora,34,0,100,1,20
KS,LTER_Exp,Pocillopora,41,0,100,1,20
KS,LTER_Exp,Pocillopora,30,0,100,1,20
KS,LTER_Exp,Pocillopora,14,0,0,1,20
KS,LTER_Exp,Pocillopora,12,0,0,1,20
KS,LTER_Exp,Pocillopora,33,20,60,1,20
KS,LTER_Exp,Pocillopora,40,0,100,1,20
KS,LTER_Exp,Pocillopora,16,0,0,1,20
KS,LTER_Exp,Pocillopora,15,0,0,1,20
KS,LTER_Exp,Pocillopora,17,0,0,1,20
KS,LTER_Exp,Pocillopora,19,0,0,1,20
KS,LTER_Exp,Pocillopora,24,0,0,1,20
KS,LTER_Exp,Pocillopora,43,0,0,1,20
KS,LTER_Exp,Pocillopora,19,0,0,1,20
KS,LTER_Exp,Acropora,28,0,100,1,20
KS,LTER_Exp,Pocillopora,23,0,0,1,20
KS,LTER_Exp,Pocillopora,23,50,20,1,20
KS,LTER_Exp,Pocillopora,48,0,85,1,20
KS,LTER_Exp,Pocillopora,22,0,0,1,20
KS,LTER_Exp,Pocillopora,11,0,0,1,20
KS,LTER_Exp,Pocillopora,22,0,0,1,20
KS,LTER_Exp,Pocillopora,17,0,0,1,20
KS,LTER_Exp,Pocillopora,14,0,0,1,20
KS,LTER_Exp,Pocillopora,26,0,0,1,20
KS,LTER_Exp,Pocillopora,24,0,100,1,20
KS,LTER_Exp,Pocillopora,15,10,0,1,20
KS,LTER_Exp,Pocillopora,24,10,0,1,20
KS,LTER_Exp,Pocillopora,37,0,100,1,20
KS,LTER_Exp,Acropora,17,0,0,1,20
KS,LTER_Exp,Pocillopora,14,0,0,1,20
KS,LTER_Exp,Pocillopora,22,0,0,1,20
KS,LTER_Exp,Pocillopora,18,0,0,1,20
KS,LTER_Exp,Pocillopora,33,0,100,1,20
KS,LTER_Exp,Pocillopora,35,0,100,1,20
